Подшипники качения роликовые конические однорядные (из ГОСТ 27365-87)
Диаметр отверстия внутреннего кольца (мм).
20 25 30 35 40 45 50 55 60 65 70 75 80
Условное обозначение.
12345678901234567890123456789012345678901234567890123456789012345678901234567890
      2007104A            2007105A            2007106A            2007107A
      2007108A            2007109A            2007110A            2007111A
      2007112A            2007113A            2007114A            2007115A
      2007116A               7204A               7205A               7206A
         7207A               7208A               7209A               7210A
         7211A               7212A               7213A               7214A
         7215A               7216A               7304A               7505A
         7506A               7507A               7508A               7509A
         7510A               7511A               7512A               7513A
         7514A               7515A               7516A               7304A
         7305A               7306A               7307A               7308A
         7309A               7310A               7311A               7312A
         7313A               7314A               7315A               7316A
         7604A            1027305A            1027306A            1027307A
      1027308A            1027309A            1027310A            1027311A
      1027312A            1027313A            1027314A            1027315A
      1027316A

Ширина внутреннего кольца (мм).
  15    15    17    18    19
  20    20    23    23    23
  25    25    29    14    15
  16    17    18    19    20
  21    22    23    24    25
  26    15    18    20    23
  23    23    23    25    28
  31    31    31    33    15
  17    19    21    23    25
  27    29    31    33    35
  37    39    21    17    19
  21    23    25    27    29
  31    33    35    37    39

Наружный диаметр (мм).
   42   47   55   62   68
   75   80   90   95  100
  110  115  125   47   52
   62   72   80   85   90
  100  110  120  125  130
  140   52   52   62   72
   80   85   90  100  110
  120  125  130  140   52
   62   72   80   90  100
  110  120  130  140  150
  160  170   52   62   72
   80   90  100  110  120
  130  140  150  160  170

Монтажная высота наибольшая (мм).
   15      15      17      18      19
   20      20      23      23      23
   25      25      29      15.5    16.5
   17.5    18.5    20      21      22
   23      24      25      26.5    27.5
   28.5    16.5    19.25   21.25   24.25
   24.75   24.75   24.75   26.75   29.75
   32.75   33.25   33.25   35.25   16.5
   18.5    21      23      25.5    27.5
   29.5    32      34      36.5    38.5
   40.5    43      22.25   18.5    21
   23      25.5    27.5    29.5    32
   34      36.5    38.5    40.5    43

Динамическая грузоподъемность (Н).
  22900  25500  33600  40200  49500
  55000  57200  76500  76500  78100
  95200  99000 128000  26000  29200
  38000  48400  58300  62700  70400
  84200  91300 108000 119000 130000
 140000  31900  34100  47300  61600
  70400  74800  76500  99000 120000
 142000 147000 157000 176000  31900
  41800  52800  68200  80900 101000
 117000 134000 161000 183000 209000
 229000 255000  41300  35800  44600
  57200  69300  85800  99000 114000
 134000 154000 176000 194000 212000

Статическая грузоподъемность (Н).
   15600      18300      24500      30500      40000
   44000      48000      64000      67000      68000
   83000      88000     116000      16600      21000
   25500      32500      40000      50000      55000
   61000      70000      78000      89000     100000
  114000      20000      25000      37000      45000
   50000      60000      64000      80000     100000
  120000     118000     130000     155000      20000
   28000      39000      50000      56000      72000
   90000     110000     120000     150000     170000
  185000     190000      28000      23200      29000
   39000      54000      60000      72500      80000
   96500     112000     127000     143000     153000

Коэффициент осевого нагружения.
       0.37        0.43        0.43        0.45        0.38
       0.39        0.42        0.41        0.43        0.46
       0.43        0.46        0.42        0.35        0.37
       0.37        0.37        0.37        0.40        0.42
       0.40        0.40        0.40        0.42        0.43
       0.42        0.3         0.36        0.37        0.37
       0.37        0.4         0.42        0.4         0.4
       0.4         0.42        0.43        0.42        0.3
       0.3         0.31        0.31        0.35        0.35
       0.35        0.35        0.35        0.35        0.35
       0.35        0.35        0.3         0.83        0.83
       0.83        0.83        0.83        0.83        0.83
       0.83        0.83        0.83        0.83        0.83

Коэффициент осевой нагрузки.
       1.6         1.4         1.4         1.3         1.6
       1.5         1.4         1.5         1.4         1.3
       1.4         1.3         1.4         1.7         1.6
       1.6         1.6         1.6         1.5         1.4
       1.5         1.5         1.5         1.4         1.4
       1.4         2.0         1.67        1.6         1.6
       1.6         1.48        1.43        1.48        1.48
       1.48        1.43        1.38        1.43        2.0
       2.00        1.90        1.9         1.74        1.7
       1.7         1.70        1.7         1.7         1.7
       1.7         1.7         2.          0.73        0.73
       0.73        0.73        0.73        0.73        0.73
       0.73        0.73        0.73        0.73        0.73

Масса (кг).
       0.101       0.117       0.175       0.224       0.278
       0.354       0.384       0.570       0.605       0.642
       0.875       0.921       1.29        0.128       0.157
       0.24        0.34        0.435       0.499       0.566
       0.732       0.931       1.17        1.30        1.41
       1.7         0.174       0.18        0.30        0.458
       0.56        0.598       0.644       0.878       1.20
       1.58        1.68        1.76        2.180       0.174
       0.273       0.40        0.541       0.769       1.02
       1.31        1.67        2.06        2.55        3.09
       3.68        4.41        0.245       0.274       0.399
       0.533       0.747       0.997       1.27        1.62
       2.01        2.47        3.01        3.54        4.2
